title,search_term_x,dog_order,dog_order_by_size,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed,breed_in_query,queries,term,suggestion,str_position,search_start,search_end_x,search_end_y,search_term_y,term_category,terms_grouped,question_order
Bernese Mountain Dog,bernese+mountain+dog,6,16,Working,/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/,/media/2919/bernese-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872230000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,bernese+mountain+dog,why+does+my+bernese+mountain+dog,why+does+my+bernese+mountain+dog,why does my bernese mountain dog bark so much,12,why does my,bark so much,bark so much,bark so much,noise,bark,58
Belgian Malinois,belgian+malinois,5,18,,,,,,,,,Medium,,,,,belgian+malinois,why+does+my+belgian+malinois,why+does+my+belgian+malinois,why does my belgian malinois bark so much,12,why does my,bark so much,bark so much,bark so much,noise,bark,58
Basset Hound,basset+hound,3,19,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound bark so much,12,why does my,bark so much,bark so much,bark so much,noise,bark,58
St. Bernard,st+bernard,55,2,Working,/search/breeds-a-to-z/breeds/working/st-bernard/,/media/2977/st-bernard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238760000000,Short,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,st+bernard,why+does+my+st+bernard,why+does+my+st+bernard,why does my st bernard pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
St. Bernard,st+bernard,55,2,Working,/search/breeds-a-to-z/breeds/working/st-bernard/,/media/2977/st-bernard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238760000000,Short,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,st+bernard,why+does+my+st+bernard,why+does+my+st+bernard,why does my st bernard puppy pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Samoyed,samoyed,48,7,Pastoral,/search/breeds-a-to-z/breeds/pastoral/samoyed/,/media/1495/samoyed-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638080000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,samoyed,why+does+my+samoyed,why+does+my+samoyed,why does my samoyed pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Rottweiler,rottweiler,47,3,Working,/search/breeds-a-to-z/breeds/working/rottweiler/,/media/2974/rottweiler-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238200000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,rottweiler,why+does+my+rottweiler,why+does+my+rottweiler,why does my rottweiler pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Retriever (Golden),golden+retriever,45,5,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-golden/,/media/1184/retriever-golden-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140431570000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,golden+retriever,why+does+my+golden+retriever,why+does+my+golden+retriever,why does my golden retriever pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Poodle (Miniature),poodle,43,6,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No,poodle,why+does+my+poodle,why+does+my+poodle,why does my poodle pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Pomeranian,pomeranian,42,7,Toy,/search/breeds-a-to-z/breeds/toy/pomeranian/,/media/1658/pomeranian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810450000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pomeranian,why+does+my+pomeranian,why+does+my+pomeranian,why does my pomeranian pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Mastiff,mastiff,39,6,Working,/search/breeds-a-to-z/breeds/working/mastiff/,/media/1803/masttiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236750000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes,mastiff,why+does+my+mastiff,why+does+my+mastiff,why does my mastiff pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Malamute,malamute,37,7,,,,,,,,,Large,,,,,malamute,why+does+my+malamute,why+does+my+malamute,why does my malamute pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Lhasa Apso,lhasa+apso,36,11,Utility,/search/breeds-a-to-z/breeds/utility/lhasa-apso/,/media/2959/lhasa-apso-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143857660000000,Long,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,lhasa+apso,why+does+my+lhasa+apso,why+does+my+lhasa+apso,why does my lhasa apso pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Labradoodle,labradoodle,35,8,,,,,,,,,Medium,,,,,labradoodle,why+does+my+labradoodle,why+does+my+labradoodle,why does my labradoodle pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Havanese,havanese,33,13,Toy,/search/breeds-a-to-z/breeds/toy/havanese/,/media/1631/havanese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805500000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,havanese,why+does+my+havanese,why+does+my+havanese,why does my havanese pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Greyhound,greyhound,32,8,Hound,/search/breeds-a-to-z/breeds/hound/greyhound/,/media/2941/greyhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140459660000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,greyhound,why+does+my+greyhound,why+does+my+greyhound,why does my greyhound pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
German Shepherd Dog,german+shepherd,27,11,Pastoral,/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/,/media/3259/german-shepherd-dog.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132186393170000000,Short & long,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,german+shepherd,why+does+my+german+shepherd,why+does+my+german+shepherd,why does my german shepherd pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Dalmatian,dalmatian,24,11,Utility,/search/breeds-a-to-z/breeds/utility/dalmatian/,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No,dalmatian,why+does+my+dalmatian,why+does+my+dalmatian,why does my dalmatian pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Corgi,corgi,22,15,,,,,,,,,Small,,,,,corgi,why+does+my+corgi,why+does+my+corgi,why does my corgi pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Collie,collie,21,13,,,,,,,,,Medium,,,,,collie,why+does+my+collie,why+does+my+collie,why does my collie pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Cockapoo,cockapoo,19,16,,,,,,,,,Small,,,,,cockapoo,why+does+my+cockapoo,why+does+my+cockapoo,why does my cockapoo pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Chow Chow,chow+chow,18,13,Utility,/search/breeds-a-to-z/breeds/utility/chow-chow/,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Small/ medium garden,Large house,Country,No,chow+chow,why+does+my+chow+chow,why+does+my+chow+chow,why does my chow chow pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Border Collie,border+collie,8,17,Pastoral,/search/breeds-a-to-z/breeds/pastoral/border-collie/,/media/1435/border-collie-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140540180000000,Medium,More than 2 hours per day,More than once a week,Over 12 years,Yes,Medium,Large garden,Small house,Either,No,border+collie,why+does+my+border+collie,why+does+my+border+collie,why does my border collie pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Bernese Mountain Dog,bernese+mountain+dog,6,16,Working,/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/,/media/2919/bernese-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872230000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,bernese+mountain+dog,why+does+my+bernese+mountain+dog,why+does+my+bernese+mountain+dog,why does my bernese mountain dog pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Belgian Malinois,belgian+malinois,5,18,,,,,,,,,Medium,,,,,belgian+malinois,why+does+my+belgian+malinois,why+does+my+belgian+malinois,why does my belgian malinois pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Australian Shepherd,australian+shepherd,2,20,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,australian+shepherd,why+does+my+australian+shepherd,why+does+my+australian+shepherd,why does my australian shepherd pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
Akita,akita,1,17,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita pant so much,12,why does my,pant so much,pant so much,pant so much,noise,pant,67
St. Bernard,st+bernard,55,2,Working,/search/breeds-a-to-z/breeds/working/st-bernard/,/media/2977/st-bernard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238760000000,Short,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,st+bernard,why+does+my+st+bernard,why+does+my+st+bernard,why does my st bernard have diarrhea,12,why does my,have diarrhea,have diarrhea,have diarrhea,health,have diarrhea,48
Schnauzer,schnauzer,49,6,Utility,/search/breeds-a-to-z/breeds/utility/schnauzer/,/media/2975/schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870290000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,schnauzer,why+does+my+schnauzer,why+does+my+schnauzer,why does my schnauzer have diarrhea,12,why does my,have diarrhea,have diarrhea,have diarrhea,health,have diarrhea,48
Great Dane,great+dane,30,10,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,great+dane,why+does+my+great+dane,why+does+my+great+dane,why does my great dane puppy have diarrhea,12,why does my,have diarrhea,have diarrhea,have diarrhea,health,have diarrhea,48
Boston Terrier,boston+terrier,10,20,Utility,/search/breeds-a-to-z/breeds/utility/boston-terrier/,/media/2910/boston-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812320000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,boston+terrier,why+does+my+boston+terrier,why+does+my+boston+terrier,why does my boston terrier have diarrhea,12,why does my,have diarrhea,have diarrhea,have diarrhea,health,have diarrhea,48
Bernese Mountain Dog,bernese+mountain+dog,6,16,Working,/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/,/media/2919/bernese-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872230000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,bernese+mountain+dog,why+does+my+bernese+mountain+dog,why+does+my+bernese+mountain+dog,why does my bernese mountain dog have diarrhea,12,why does my,have diarrhea,have diarrhea,have diarrhea,health,have diarrhea,48
Belgian Malinois,belgian+malinois,5,18,,,,,,,,,Medium,,,,,belgian+malinois,why+does+my+belgian+malinois,why+does+my+belgian+malinois,why does my belgian malinois have diarrhea,12,why does my,have diarrhea,have diarrhea,have diarrhea,health,have diarrhea,48
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Shih Tzu,shih+tzu,52,4,Utility,/search/breeds-a-to-z/breeds/utility/shih-tzu/,/media/2976/shih-tzu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870800000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,shih+tzu,why+does+my+shih+tzu,why+does+my+shih+tzu,why does my shih tzu growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Poodle (Miniature),poodle,43,6,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No,poodle,why+does+my+poodle,why+does+my+poodle,why does my poodle growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Pekingese,pekingese,41,8,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pekingese,why+does+my+pekingese,why+does+my+pekingese,why does my pekingese growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Maltese,maltese,38,10,Toy,/search/breeds-a-to-z/breeds/toy/maltese/,/media/1646/maltese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807800000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,maltese,why+does+my+maltese,why+does+my+maltese,why does my maltese growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Jack Russell Terrier,jack+russell,34,12,Terrier,/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/,/media/1556/jack-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797020000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Country,No,jack+russell,why+does+my+jack+russell,why+does+my+jack+russell,why does my jack russell growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Greyhound,greyhound,32,8,Hound,/search/breeds-a-to-z/breeds/hound/greyhound/,/media/2941/greyhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140459660000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,greyhound,why+does+my+greyhound,why+does+my+greyhound,why does my greyhound growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Great Pyrenees,great+pyrenees,31,9,,,,,,,,,Large,,,,,great+pyrenees,why+does+my+great+pyrenees,why+does+my+great+pyrenees,why does my great pyrenees growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Great Dane,great+dane,30,10,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,great+dane,why+does+my+great+dane,why+does+my+great+dane,why does my great dane growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Cockapoo,cockapoo,19,16,,,,,,,,,Small,,,,,cockapoo,why+does+my+cockapoo,why+does+my+cockapoo,why does my cockapoo growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Border Collie,border+collie,8,17,Pastoral,/search/breeds-a-to-z/breeds/pastoral/border-collie/,/media/1435/border-collie-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140540180000000,Medium,More than 2 hours per day,More than once a week,Over 12 years,Yes,Medium,Large garden,Small house,Either,No,border+collie,why+does+my+border+collie,why+does+my+border+collie,why does my border collie growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Akita,akita,1,17,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita growl at me,12,why does my,growl at me,growl at me,growl at me,gets personal,growl at me,37
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel poop so much,12,why does my,poop so much,poop so much,poop so much,health,poop so much,52
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel pee when excited,12,why does my,pee when excited,pee when excited,pee when excited,behaviour,pee so much / when excited / in the house,26
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel howl,12,why does my,howl,howl,howl,noise,howl,63
Siberian Husky,husky,53,3,Working,/search/breeds-a-to-z/breeds/working/siberian-husky/,/media/2666/siberian-husky-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238560000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,husky,why+does+my+husky,why+does+my+husky,why does my husky howl,12,why does my,howl,howl,howl,noise,howl,63
Shiba Inu,shiba+inu,51,4,,,,,,,,,Medium,,,,,shiba+inu,why+does+my+shiba+inu,why+does+my+shiba+inu,why does my shiba inu howl,12,why does my,howl,howl,howl,noise,howl,63
Samoyed,samoyed,48,7,Pastoral,/search/breeds-a-to-z/breeds/pastoral/samoyed/,/media/1495/samoyed-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638080000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,samoyed,why+does+my+samoyed,why+does+my+samoyed,why does my samoyed howl,12,why does my,howl,howl,howl,noise,howl,63
Retriever (Labrador),labrador,46,4,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-labrador/,/media/1185/retriever-labrador-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433580000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,labrador,why+does+my+labrador,why+does+my+labrador,why does my labrador howl,12,why does my,howl,howl,howl,noise,howl,63
Poodle (Miniature),poodle,43,6,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No,poodle,why+does+my+poodle,why+does+my+poodle,why does my poodle howl,12,why does my,howl,howl,howl,noise,howl,63
Miniature Schnauzer,miniature+schnauzer,40,9,Utility,/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/,/media/2960/miniature-schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143867930000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,miniature+schnauzer,why+does+my+miniature+schnauzer,why+does+my+miniature+schnauzer,why does my miniature schnauzer howl,12,why does my,howl,howl,howl,noise,howl,63
Maltese,maltese,38,10,Toy,/search/breeds-a-to-z/breeds/toy/maltese/,/media/1646/maltese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807800000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,maltese,why+does+my+maltese,why+does+my+maltese,why does my maltese howl,12,why does my,howl,howl,howl,noise,howl,63
Malamute,malamute,37,7,,,,,,,,,Large,,,,,malamute,why+does+my+malamute,why+does+my+malamute,why does my malamute howl,12,why does my,howl,howl,howl,noise,howl,63
Lhasa Apso,lhasa+apso,36,11,Utility,/search/breeds-a-to-z/breeds/utility/lhasa-apso/,/media/2959/lhasa-apso-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143857660000000,Long,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,lhasa+apso,why+does+my+lhasa+apso,why+does+my+lhasa+apso,why does my lhasa apso howl,12,why does my,howl,howl,howl,noise,howl,63
Labradoodle,labradoodle,35,8,,,,,,,,,Medium,,,,,labradoodle,why+does+my+labradoodle,why+does+my+labradoodle,why does my labradoodle howl,12,why does my,howl,howl,howl,noise,howl,63
Great Pyrenees,great+pyrenees,31,9,,,,,,,,,Large,,,,,great+pyrenees,why+does+my+great+pyrenees,why+does+my+great+pyrenees,why does my great pyrenees howl,12,why does my,howl,howl,howl,noise,howl,63
Goldendoodle,goldendoodle,29,9,,,,,,,,,Medium,,,,,goldendoodle,why+does+my+goldendoodle,why+does+my+goldendoodle,why does my goldendoodle howl,12,why does my,howl,howl,howl,noise,howl,63
Corgi,corgi,22,15,,,,,,,,,Small,,,,,corgi,why+does+my+corgi,why+does+my+corgi,why does my corgi howl,12,why does my,howl,howl,howl,noise,howl,63
Cocker Spaniel,cocker+spaniel,20,14,,,,,,,,,Medium,,,,,cocker+spaniel,why+does+my+cocker+spaniel,why+does+my+cocker+spaniel,why does my cocker spaniel howl,12,why does my,howl,howl,howl,noise,howl,63
Cockapoo,cockapoo,19,16,,,,,,,,,Small,,,,,cockapoo,why+does+my+cockapoo,why+does+my+cockapoo,why does my cockapoo howl,12,why does my,howl,howl,howl,noise,howl,63
Chihuahua,chihuahua,16,18,,,,,,,,,Small,,,,,chihuahua,why+does+my+chihuahua,why+does+my+chihuahua,why does my chihuahua howl,12,why does my,howl,howl,howl,noise,howl,63
Cavapoo,cavapoo,15,19,,,,,,,,,Small,,,,,cavapoo,why+does+my+cavapoo,why+does+my+cavapoo,why does my cavapoo howl,12,why does my,howl,howl,howl,noise,howl,63
Border Terrier,border+terrier,9,21,Terrier,/search/breeds-a-to-z/breeds/terrier/border-terrier/,/media/1526/border-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143779610000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,border+terrier,why+does+my+border+terrier,why+does+my+border+terrier,why does my border terrier howl,12,why does my,howl,howl,howl,noise,howl,63
Border Collie,border+collie,8,17,Pastoral,/search/breeds-a-to-z/breeds/pastoral/border-collie/,/media/1435/border-collie-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140540180000000,Medium,More than 2 hours per day,More than once a week,Over 12 years,Yes,Medium,Large garden,Small house,Either,No,border+collie,why+does+my+border+collie,why+does+my+border+collie,why does my border collie howl,12,why does my,howl,howl,howl,noise,howl,63
Bichon Frise,bichon+frise,7,22,Toy,/search/breeds-a-to-z/breeds/toy/bichon-frise/,/media/1604/bichon-frise-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802390000000,Medium,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,bichon+frise,why+does+my+bichon+frise,why+does+my+bichon+frise,why does my bichon frise howl,12,why does my,howl,howl,howl,noise,howl,63
Bernese Mountain Dog,bernese+mountain+dog,6,16,Working,/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/,/media/2919/bernese-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872230000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,bernese+mountain+dog,why+does+my+bernese+mountain+dog,why+does+my+bernese+mountain+dog,why does my bernese mountain dog howl,12,why does my,howl,howl,howl,noise,howl,63
Basset Hound,basset+hound,3,19,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound howl,12,why does my,howl,howl,howl,noise,howl,63
Akita,akita,1,17,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita howl,12,why does my,howl,howl,howl,noise,howl,63
